Model,Scoring Metric,Task,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro)
DecisionTreeClassifier,accuracy,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
DecisionTreeClassifier,f1_macro,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
DecisionTreeClassifier,balanced_accuracy,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
DecisionTreeClassifier,precision_macro,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
DecisionTreeClassifier,recall_macro,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
DecisionTreeClassifier,average_precision,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
DecisionTreeClassifier,average_precision,Classification,0.8425925925925926,0.8447252017410104,0.8415557690252271,0.8414696941601927
RandomForestClassifier,accuracy,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
RandomForestClassifier,f1_macro,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
RandomForestClassifier,balanced_accuracy,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
RandomForestClassifier,precision_macro,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
RandomForestClassifier,recall_macro,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
RandomForestClassifier,average_precision,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
RandomForestClassifier,average_precision,Classification,0.9740740740740741,0.9743062788137345,0.9756353482592688,0.9747001957998263
